Przewidywania na tydzieñ: 31
Miasto	Produkt	Przewidziana Iloœæ Zamówieñ
Atlanta	20in Monitor	11	6	6	6	7	7	9	4	8	9	4	3	7	4	7	5	9	4	7	5	8	6.48
Atlanta	27in 4K Gaming Monitor	10	10	6	8	9	5	7	13	6	6	11	4	10	9	7	9	11	12	8	10	3	9.20
Atlanta	27in FHD Monitor	9	8	9	13	21	12	12	15	18	12	12	10	13	14	10	10	7	9	20	11	11	10.60
Atlanta	34in Ultrawide Monitor	6	15	12	10	11	11	9	8	11	5	6	10	12	8	5	14	6	6	13	7	8	10.35
Atlanta	AA Batteries (4-pack)	41	36	38	46	44	51	47	55	45	58	51	42	24	37	61	32	32	36	39	38	42	40.39
Atlanta	AAA Batteries (4-pack)	37	44	35	44	48	55	51	76	38	44	36	60	57	41	32	36	33	30	32	43	47	37.21
Atlanta	Apple Airpods Headphones	27	20	26	28	30	34	28	27	28	25	25	30	24	24	25	21	19	24	27	15	20	23.91
Atlanta	Bose SoundSport Headphones	16	23	20	18	22	29	25	25	23	20	21	24	28	12	22	22	24	20	22	24	18	17.93
Atlanta	Flatscreen TV	9	7	6	11	9	6	13	12	10	5	7	9	4	11	6	11	7	13	2	5	6	7.40
Atlanta	Google Phone	11	12	9	13	11	9	11	10	13	9	13	10	4	7	11	15	10	4	6	8	9	6.65
Atlanta	LG Dryer	1	0	1	1	2	0	3	0	1	3	1	2	1	1	0	0	2	0	4	1	1	2.15
Atlanta	LG Washing Machine	2	0	3	0	1	2	1	1	1	1	0	0	1	2	4	2	2	4	0	2	1	0.63
Atlanta	Lightning Charging Cable	41	34	37	27	49	48	50	38	39	41	45	41	36	26	42	31	31	25	35	21	37	35.53
Atlanta	Macbook Pro Laptop	6	8	5	8	9	8	7	13	4	9	7	7	7	6	4	6	7	8	6	7	7	7.42
Atlanta	ThinkPad Laptop	7	2	5	7	9	10	7	11	7	7	6	7	5	9	5	6	10	7	5	7	4	6.60
Atlanta	USB-C Charging Cable	32	35	28	26	38	43	42	42	36	24	53	47	37	20	37	22	24	28	40	23	37	27.43
Atlanta	Vareebadd Phone	2	7	3	5	4	8	2	4	5	3	2	5	5	2	5	7	1	3	3	4	3	2.32
Atlanta	Wired Headphones	37	51	27	36	25	38	43	35	34	28	29	38	33	26	30	24	31	24	32	26	28	31.35
Atlanta	iPhone	15	10	11	9	17	17	17	13	8	14	8	12	14	5	8	12	8	10	11	9	3	11.32
Austin	20in Monitor	6	1	4	4	7	3	6	8	3	1	3	5	6	9	2	4	4	5	1	2	3	3.04
Austin	27in 4K Gaming Monitor	6	4	9	6	8	10	4	6	7	2	6	6	4	3	5	4	3	6	11	7	5	6.66
Austin	27in FHD Monitor	6	6	5	8	6	9	8	9	5	6	13	5	6	9	7	3	12	7	5	9	5	7.31
Austin	34in Ultrawide Monitor	7	6	7	4	9	10	8	6	3	7	8	7	5	7	6	5	5	9	2	9	4	7.38
Austin	AA Batteries (4-pack)	38	22	44	24	36	34	34	43	22	29	20	23	25	24	24	40	21	23	18	22	19	25.54
Austin	AAA Batteries (4-pack)	28	33	18	38	22	40	30	42	33	49	30	51	35	21	31	24	17	39	25	33	16	29.67
Austin	Apple Airpods Headphones	18	27	18	17	21	17	17	21	17	20	18	11	16	14	19	14	17	15	11	15	18	13.21
Austin	Bose SoundSport Headphones	13	12	17	10	18	15	15	8	8	15	15	10	14	13	2	15	13	17	11	11	13	9.36
Austin	Flatscreen TV	4	3	3	4	5	9	6	8	6	0	4	1	2	3	4	7	6	4	4	3	6	4.45
Austin	Google Phone	3	3	7	8	8	5	6	8	4	6	5	7	8	6	6	2	6	6	1	2	3	5.17
Austin	Lightning Charging Cable	24	22	35	28	33	32	35	27	27	22	19	35	29	21	25	19	24	28	27	24	15	22.18
Austin	Macbook Pro Laptop	4	3	3	8	4	4	3	4	10	6	6	2	7	5	8	6	5	3	8	8	5	3.93
Austin	ThinkPad Laptop	4	6	5	3	2	0	4	5	7	6	3	5	8	4	1	4	4	3	3	3	4	4.57
Austin	USB-C Charging Cable	18	29	25	24	24	32	24	27	14	17	37	19	29	20	19	19	19	20	21	22	23	21.85
Austin	Vareebadd Phone	1	1	1	3	1	3	1	3	4	1	3	1	2	2	2	3	3	1	2	3	1	2.05
Austin	Wired Headphones	14	23	26	29	39	19	34	27	17	22	25	17	23	21	19	20	15	17	27	18	22	21.84
Austin	iPhone	7	5	6	12	9	12	12	11	5	6	4	8	8	2	8	9	4	8	3	8	8	8.78
Boston	20in Monitor	5	5	5	6	8	8	7	7	8	6	14	7	8	5	7	7	6	11	7	7	6	8.59
Boston	27in 4K Gaming Monitor	14	8	11	9	17	11	18	7	11	13	18	11	17	14	10	10	6	11	5	15	11	15.72
Boston	27in FHD Monitor	20	14	13	5	15	28	20	26	20	16	14	16	13	19	11	15	13	13	15	16	16	15.19
Boston	34in Ultrawide Monitor	10	14	5	16	14	14	16	22	10	18	19	14	13	7	15	7	14	10	11	7	10	12.94
Boston	AA Batteries (4-pack)	52	55	66	49	73	66	95	58	54	64	50	55	55	54	63	59	51	66	50	69	43	59.91
Boston	AAA Batteries (4-pack)	66	68	59	75	64	72	106	77	68	91	50	72	79	40	63	58	59	61	57	58	69	61.39
Boston	Apple Airpods Headphones	36	28	27	34	36	35	29	37	41	38	40	33	23	26	36	22	32	31	31	27	31	29.61
Boston	Bose SoundSport Headphones	35	35	36	28	28	30	22	33	20	30	32	18	31	14	21	26	27	22	21	21	22	26.06
Boston	Flatscreen TV	8	11	10	12	9	14	8	9	14	20	9	10	7	10	8	6	12	8	12	7	10	9.03
Boston	Google Phone	9	16	10	11	17	13	16	11	21	7	11	12	11	7	12	7	7	11	8	14	12	10.63
Boston	LG Washing Machine	1	3	0	2	2	0	0	1	1	2	1	1	1	0	4	0	3	1	0	1	1	1.99
Boston	Lightning Charging Cable	50	31	34	50	72	56	55	54	49	54	61	50	35	48	45	41	35	37	54	49	53	45.59
Boston	Macbook Pro Laptop	9	3	12	8	7	6	15	11	12	12	7	7	7	12	3	8	10	15	11	12	8	9.46
Boston	ThinkPad Laptop	13	10	7	9	5	7	15	16	9	7	12	12	6	4	10	6	8	5	7	8	7	8.12
Boston	USB-C Charging Cable	67	42	31	53	52	68	66	46	52	47	56	41	38	46	33	38	40	48	40	46	54	53.03
Boston	Vareebadd Phone	4	7	3	4	7	3	8	5	2	5	3	3	4	5	3	4	5	2	3	3	6	6.18
Boston	Wired Headphones	44	47	39	46	57	43	51	39	45	49	42	52	41	47	35	29	45	41	39	35	38	40.77
Boston	iPhone	7	11	15	15	16	20	22	21	12	21	17	12	11	12	15	9	12	15	14	15	16	16.87
Dallas	20in Monitor	8	2	6	2	11	6	9	9	8	14	4	6	3	7	3	10	14	4	6	7	4	5.50
Dallas	27in 4K Gaming Monitor	7	9	13	11	10	9	8	11	12	8	7	10	8	8	10	6	6	4	9	7	10	10.33
Dallas	27in FHD Monitor	18	12	15	13	12	9	7	13	12	17	9	14	11	9	11	9	5	9	7	12	13	8.86
Dallas	34in Ultrawide Monitor	8	13	11	12	13	9	7	7	18	9	11	12	10	6	6	7	10	9	10	5	8	10.05
Dallas	AA Batteries (4-pack)	43	36	38	48	51	70	45	51	42	51	44	41	51	32	30	24	50	42	37	42	42	43.09
Dallas	AAA Batteries (4-pack)	32	36	47	36	39	38	45	61	37	74	74	72	42	48	34	39	28	39	33	25	38	34.64
Dallas	Apple Airpods Headphones	26	19	19	28	25	19	19	35	22	17	21	21	21	28	19	27	28	25	19	21	15	23.89
Dallas	Bose SoundSport Headphones	23	21	24	24	26	23	27	22	19	29	24	28	19	19	18	16	16	17	20	16	27	14.74
Dallas	Flatscreen TV	8	11	6	3	7	5	9	9	10	7	10	8	3	8	13	6	3	6	9	10	11	7.97
Dallas	Google Phone	14	11	5	11	5	10	11	7	7	10	7	8	5	6	8	8	4	10	9	9	9	7.40
Dallas	LG Washing Machine	2	0	0	2	1	2	2	1	0	1	0	3	2	1	0	0	0	0	1	1	1	2.33
Dallas	Lightning Charging Cable	31	39	33	33	35	39	54	41	41	32	43	48	55	31	33	30	40	34	30	28	33	37.89
Dallas	Macbook Pro Laptop	4	7	12	5	6	9	5	8	13	13	6	12	8	4	6	6	6	7	7	7	5	7.14
Dallas	ThinkPad Laptop	6	3	2	5	10	7	5	6	12	12	10	4	4	3	11	3	1	5	6	8	6	5.81
Dallas	USB-C Charging Cable	33	25	39	43	28	56	31	25	40	48	50	41	32	30	30	33	32	36	29	33	38	33.76
Dallas	Vareebadd Phone	3	4	5	4	6	4	4	1	4	1	2	1	4	3	6	1	3	2	1	2	1	5.29
Dallas	Wired Headphones	31	26	30	20	39	34	37	30	43	35	33	31	45	36	29	32	17	30	26	33	24	32.15
Dallas	iPhone	8	5	5	15	14	12	16	13	8	10	10	11	12	11	10	14	9	7	9	4	14	9.43
Los Angeles	20in Monitor	15	8	12	15	19	15	13	15	15	15	8	20	7	10	13	12	14	10	7	12	9	13.71
Los Angeles	27in 4K Gaming Monitor	12	21	12	21	17	19	26	23	20	22	21	19	17	21	19	23	16	17	22	9	22	16.03
Los Angeles	27in FHD Monitor	21	21	20	20	23	30	25	24	25	15	28	27	23	24	16	24	29	24	24	18	34	22.85
Los Angeles	34in Ultrawide Monitor	14	15	23	20	16	25	25	20	25	13	21	13	20	13	15	22	18	16	14	19	8	14.81
Los Angeles	AA Batteries (4-pack)	76	88	82	97	127	85	96	130	66	74	89	84	65	74	102	64	85	55	72	72	99	89.59
Los Angeles	AAA Batteries (4-pack)	94	102	117	102	127	114	115	129	88	105	124	88	95	93	62	83	55	67	101	82	72	81.32
Los Angeles	Apple Airpods Headphones	51	54	50	25	62	45	60	76	51	43	50	57	42	49	42	39	44	43	45	43	49	30.92
Los Angeles	Bose SoundSport Headphones	49	32	35	44	49	64	39	42	38	50	36	52	40	33	36	35	35	36	37	36	38	45.64
Los Angeles	Flatscreen TV	9	9	11	15	17	13	14	19	15	10	20	27	13	12	16	9	17	11	11	15	18	15.48
Los Angeles	Google Phone	19	17	15	17	25	27	30	22	13	14	20	14	22	7	17	17	9	7	11	11	20	19.99
Los Angeles	LG Dryer	0	0	3	1	2	8	3	4	3	6	2	3	2	2	3	1	1	1	1	2	8	6.70
Los Angeles	LG Washing Machine	2	3	1	4	4	3	3	5	3	2	2	1	4	2	2	4	2	1	1	0	3	6.95
Los Angeles	Lightning Charging Cable	60	89	68	62	72	101	106	100	72	69	64	87	71	51	45	74	70	66	63	59	57	57.32
Los Angeles	Macbook Pro Laptop	16	9	17	13	16	8	21	21	16	13	17	15	19	17	14	22	12	11	14	12	7	15.24
Los Angeles	ThinkPad Laptop	13	14	9	10	16	17	10	19	12	15	9	13	9	16	11	14	6	9	15	9	11	12.71
Los Angeles	USB-C Charging Cable	67	63	77	71	95	91	93	76	74	68	63	65	86	56	68	67	75	63	73	71	61	70.59
